id;id_accord;title;description;type;statut;date_accord
1;16592;Rustic Rubber Towels;Berkshire invoice moratorium;EnCours;International;2021-02-13T02:47:32
2;8556;Functionality;Fantastic Plastic Chair;Signer;National;2021-02-13T08:14:49
3;59315;Proactive;Metal Advanced;Rejeter;International;2021-02-13T00:51:08
4;27337;1080p reinvent Operations;program upward-trending Cambridgeshire;Signer;International;2021-02-12T19:56:43
5;65050;Credit Card Account;Berkshire open-source deliver;EnCours;National;2021-02-13T12:06:03
6;32197;Re-engineered;paradigm Health;Signer;National;2021-02-12T18:59:53
7;53290;grow;enhance alliance Trinidad and Tobago;EnCours;National;2021-02-12T17:25:53
8;31886;payment bluetooth;plum;Rejeter;International;2021-02-12T14:18:52
9;32665;Alabama magenta Dynamic;pink;Rejeter;International;2021-02-13T09:17:08
10;13437;dedicated Fresh Up-sized;directional;Signer;National;2021-02-13T09:48:11
